sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,blockOrder,accuracy,reactionTime,blockName,responseKey,trialType
91005,R_5WZyFwcw5XixTEd,1,14,20,-0.267900,0.15,1,2,true,1154,Big/Small,Q,training
91005,R_5WZyFwcw5XixTEd,2,38,20,0.087500,0.15,1,2,false,1672,Big/Small,P,training
91005,R_5WZyFwcw5XixTEd,3,46,20,0.176300,0.15,1,2,false,692,Big/Small,P,training
91005,R_5WZyFwcw5XixTEd,4,11,14,-0.267900,0.15,1,2,false,1128,Big/Small,Q,training
91005,R_5WZyFwcw5XixTEd,5,51,14,0.267900,0.15,1,2,true,1345,Big/Small,P,training
91005,R_5WZyFwcw5XixTEd,6,18,12,-0.176300,0.15,1,2,true,757,Big/Small,P,training
91005,R_5WZyFwcw5XixTEd,7,32,8,0.087500,0.15,1,2,true,1183,Big/Small,P,training
91005,R_5WZyFwcw5XixTEd,8,31,22,-0.087500,0.15,1,2,true,799,Big/Small,Q,training
91005,R_5WZyFwcw5XixTEd,9,56,8,0.364000,0.15,1,2,true,675,Big/Small,P,training
91005,R_5WZyFwcw5XixTEd,10,9,10,-0.267900,0.15,1,2,true,1633,Big/Small,P,training
91005,R_5WZyFwcw5XixTEd,11,172,14,0.176300,0.15,1,2,false,1134,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,12,40,12,-0.267900,0.15,1,2,true,824,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,13,203,12,0.267900,0.15,1,2,true,655,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,14,233,12,0.364000,0.15,1,2,true,784,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,15,209,16,0.267900,0.15,1,2,true,873,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,16,81,16,-0.176300,0.15,1,2,false,924,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,17,107,12,-0.087500,0.15,1,2,true,877,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,18,253,22,0.364000,0.15,1,2,true,637,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,19,168,12,0.176300,0.15,1,2,true,704,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,20,16,16,-0.364000,0.15,1,2,true,1034,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,21,29,22,-0.364000,0.15,1,2,true,764,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,22,144,16,0.087500,0.15,1,2,false,845,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,23,249,20,0.364000,0.15,1,2,true,875,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,24,158,22,0.087500,0.15,1,2,true,937,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,25,105,12,-0.087500,0.15,1,2,true,855,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,26,179,16,0.176300,0.15,1,2,true,859,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,27,92,22,-0.176300,0.15,1,2,true,911,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,28,223,22,0.267900,0.15,1,2,true,830,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,29,41,12,-0.267900,0.15,1,2,true,588,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,30,195,8,0.267900,0.15,1,2,true,634,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,31,59,20,-0.267900,0.15,1,2,true,1037,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,32,2,8,-0.364000,0.15,1,2,true,712,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,33,97,8,-0.087500,0.15,1,2,true,933,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,34,111,14,-0.087500,0.15,1,2,false,1228,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,35,51,16,-0.267900,0.15,1,2,true,735,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,36,147,16,0.087500,0.15,1,2,true,1059,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,37,74,12,-0.176300,0.15,1,2,true,915,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,38,212,18,0.267900,0.15,1,2,true,1247,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,39,23,18,-0.364000,0.15,1,2,true,1007,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,40,219,20,0.267900,0.15,1,2,true,1102,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,41,188,22,0.176300,0.15,1,2,true,811,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,42,206,14,0.267900,0.15,1,2,true,674,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,43,57,20,-0.267900,0.15,1,2,true,768,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,44,218,20,0.267900,0.15,1,2,true,1190,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,45,198,10,0.267900,0.15,1,2,true,763,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,46,177,16,0.176300,0.15,1,2,false,805,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,47,176,16,0.176300,0.15,1,2,false,998,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,48,91,20,-0.176300,0.15,1,2,true,805,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,49,96,8,-0.087500,0.15,1,2,true,722,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,50,112,16,-0.087500,0.15,1,2,false,1087,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,51,52,18,-0.267900,0.15,1,2,true,9765,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,52,101,10,-0.087500,0.15,1,2,true,891,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,53,110,14,-0.087500,0.15,1,2,false,987,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,54,228,10,0.364000,0.15,1,2,true,1021,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,55,161,8,0.176300,0.15,1,2,true,738,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,56,130,8,0.087500,0.15,1,2,true,883,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,57,231,10,0.364000,0.15,1,2,true,989,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,58,215,18,0.267900,0.15,1,2,true,704,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,59,70,10,-0.176300,0.15,1,2,true,1117,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,60,170,12,0.176300,0.15,1,2,true,1100,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,61,152,20,0.087500,0.15,1,2,true,876,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,62,254,22,0.364000,0.15,1,2,true,915,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,63,232,12,0.364000,0.15,1,2,true,825,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,64,192,8,0.267900,0.15,1,2,true,838,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,65,250,20,0.364000,0.15,1,2,true,942,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,66,240,16,0.364000,0.15,1,2,true,1544,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,67,166,10,0.176300,0.15,1,2,true,681,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,68,213,18,0.267900,0.15,1,2,true,1534,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,69,217,20,0.267900,0.15,1,2,true,1206,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,70,45,14,-0.267900,0.15,1,2,true,1039,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,71,79,14,-0.176300,0.15,1,2,true,1863,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,72,58,20,-0.267900,0.15,1,2,true,873,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,73,18,16,-0.364000,0.15,1,2,false,1012,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,74,99,8,-0.087500,0.15,1,2,true,841,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,75,165,10,0.176300,0.15,1,2,true,765,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,76,22,18,-0.364000,0.15,1,2,true,762,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,77,127,22,-0.087500,0.15,1,2,true,736,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,78,7,10,-0.364000,0.15,1,2,true,1082,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,79,44,14,-0.267900,0.15,1,2,true,1150,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,80,246,18,0.364000,0.15,1,2,true,724,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,81,30,22,-0.364000,0.15,1,2,true,782,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,82,235,12,0.364000,0.15,1,2,true,693,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,83,1,8,-0.364000,0.15,1,2,true,654,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,84,237,14,0.364000,0.15,1,2,true,887,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,85,190,22,0.176300,0.15,1,2,true,660,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,86,229,10,0.364000,0.15,1,2,true,604,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,87,98,8,-0.087500,0.15,1,2,true,1374,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,88,234,12,0.364000,0.15,1,2,true,924,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,89,37,10,-0.267900,0.15,1,2,true,743,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,90,64,8,-0.176300,0.15,1,2,true,664,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,91,142,14,0.087500,0.15,1,2,true,771,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,92,157,22,0.087500,0.15,1,2,true,654,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,93,245,18,0.364000,0.15,1,2,true,759,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,94,239,14,0.364000,0.15,1,2,true,1157,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,95,202,12,0.267900,0.15,1,2,true,923,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,96,178,16,0.176300,0.15,1,2,false,1118,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,97,77,14,-0.176300,0.15,1,2,true,929,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,98,119,18,-0.087500,0.15,1,2,true,755,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,99,27,20,-0.364000,0.15,1,2,true,601,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,100,24,20,-0.364000,0.15,1,2,true,742,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,101,116,18,-0.087500,0.15,1,2,true,647,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,102,155,20,0.087500,0.15,1,2,true,699,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,103,182,18,0.176300,0.15,1,2,true,1023,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,104,167,10,0.176300,0.15,1,2,true,672,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,105,73,12,-0.176300,0.15,1,2,true,662,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,106,211,16,0.267900,0.15,1,2,false,800,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,107,227,8,0.364000,0.15,1,2,true,738,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,108,46,14,-0.267900,0.15,1,2,true,917,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,109,25,20,-0.364000,0.15,1,2,true,618,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,110,42,12,-0.267900,0.15,1,2,true,926,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,111,207,14,0.267900,0.15,1,2,true,987,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,112,19,16,-0.364000,0.15,1,2,false,873,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,113,129,8,0.087500,0.15,1,2,true,644,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,114,125,22,-0.087500,0.15,1,2,true,688,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,115,204,14,0.267900,0.15,1,2,true,1009,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,116,43,12,-0.267900,0.15,1,2,true,956,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,117,173,14,0.176300,0.15,1,2,true,733,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,118,136,12,0.087500,0.15,1,2,true,775,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,119,0,8,-0.364000,0.15,1,2,true,640,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,120,153,20,0.087500,0.15,1,2,false,898,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,121,118,18,-0.087500,0.15,1,2,true,675,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,122,61,22,-0.267900,0.15,1,2,true,727,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,123,90,20,-0.176300,0.15,1,2,true,690,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,124,20,18,-0.364000,0.15,1,2,true,1000,Big/Small,Q,main
91005,R_5WZyFwcw5XixTEd,125,68,10,-0.176300,0.15,1,2,true,622,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,126,236,14,0.364000,0.15,1,2,true,669,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,127,65,8,-0.176300,0.15,1,2,true,622,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,128,160,8,0.176300,0.15,1,2,true,614,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,129,72,12,-0.176300,0.15,1,2,true,595,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,130,135,10,0.087500,0.15,1,2,true,585,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,131,175,14,0.176300,0.15,1,2,true,673,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,132,164,10,0.176300,0.15,1,2,true,746,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,133,103,10,-0.087500,0.15,1,2,true,758,Big/Small,P,main
91005,R_5WZyFwcw5XixTEd,134,169,12,0.176300,0.15,1,2,true,745,Big/Small,P,main
